nohup: les entrées sont ignorées

  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/

 :: Spring Boot ::                (v3.3.4)

2024-11-09T09:44:12.693Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:45:12.699Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:46:12.705Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:47:12.712Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:48:12.717Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:49:12.722Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:50:12.727Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:51:12.733Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:52:12.739Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:53:12.744Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:54:12.749Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:55:12.754Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:56:12.759Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:57:12.764Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:58:12.768Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:59:12.773Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T10:00:12.780Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T10:01:12.786Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T10:02:12.791Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T10:03:12.797Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
